ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,MEDIA_MT,MEDIA_LP,FAIXA_MT,FAIXA_LP,INSE_MEDIO,GRUPO_INSE,NIVEL_INSE_MODAL,N_ALUNOS,N_ALUNOS_MT_VALIDOS,N_ALUNOS_LP_VALIDOS
61433990,Pública,Interior,Urbana,1716.234259122449,254.12872748299318,Q4_Alto,Q1_Baixo,5.17624,Alto_INSE,1,166,147,147
61425346,Pública,Interior,Urbana,1705.703843097345,279.8326025309735,Q4_Alto,Q3_Médio-Alto,5.412460732984293,Alto_INSE,1,306,226,226
61416086,Pública,Capital,Urbana,1571.9342338436213,285.7473109012346,Q4_Alto,Q3_Médio-Alto,5.651004566210045,Alto_INSE,1,291,243,243
61433001,Pública,Interior,Urbana,1520.9525961879194,285.522253,Q4_Alto,Q3_Médio-Alto,5.26,Alto_INSE,1,217,149,149
61441531,Pública,Interior,Urbana,1499.9117660434783,281.11165806280195,Q4_Alto,Q3_Médio-Alto,5.067230769230769,Medio_INSE,1,266,207,207
61470139,Pública,Interior,Urbana,1453.0311821863636,258.89749813636365,Q4_Alto,Q1_Baixo,5.224174757281554,Alto_INSE,1,279,220,220
61432914,Pública,Capital,Urbana,1381.4664454915967,273.4264522268908,Q4_Alto,Q3_Médio-Alto,5.244243902439025,Alto_INSE,1,286,238,238
61441611,Pública,Interior,Urbana,1379.1745228018292,290.7341724664634,Q4_Alto,Q4_Alto,5.1235048231511255,Alto_INSE,1,379,328,328
61432951,Pública,Interior,Urbana,1316.1568361221719,272.03625505429864,Q4_Alto,Q2_Médio-Baixo,5.2069902912621355,Alto_INSE,1,277,221,221
61399904,Pública,Interior,Urbana,1224.0661388416668,293.11210175,Q4_Alto,Q4_Alto,5.60695067264574,Alto_INSE,1,298,240,240
61442017,Pública,Interior,Urbana,414.4957292662722,353.1914321715976,Q4_Alto,Q4_Alto,6.12079754601227,Alto_INSE,7,187,169,169
61405699,Pública,Interior,Urbana,407.287361516129,4292.943749827957,Q4_Alto,Q4_Alto,5.805747126436781,Alto_INSE,1,167,93,93
61424794,Pública,Capital,Urbana,386.14302173758864,353.09898838297875,Q4_Alto,Q4_Alto,5.8234615384615385,Alto_INSE,1,254,141,141
61442075,Pública,Capital,Urbana,377.06850834666665,343.51844429333335,Q4_Alto,Q4_Alto,6.244761904761905,Alto_INSE,7,85,75,75
61408573,NA,NA,NA,376.8770702272727,328.2736528181818,Q4_Alto,Q4_Alto,6.465,Alto_INSE,7,29,22,22
61459800,Pública,Interior,Urbana,375.14071511627907,334.1468191860465,Q4_Alto,Q4_Alto,6.067380952380953,Alto_INSE,7,48,43,43
61417215,Pública,Interior,Urbana,372.5800583275862,340.2631125,Q4_Alto,Q4_Alto,5.5287037037037035,Alto_INSE,1,70,58,58
61450177,NA,NA,NA,371.34504947368424,345.32363963157894,Q4_Alto,Q4_Alto,6.521578947368421,Alto_INSE,7,21,19,19
61438279,Pública,Interior,Urbana,370.9207019512195,346.69634524390244,Q4_Alto,Q4_Alto,5.494285714285715,Alto_INSE,1,68,41,41
61417201,NA,NA,NA,366.0740363333333,344.4981680833333,Q4_Alto,Q4_Alto,6.171818181818182,Alto_INSE,1,22,12,12
61470062,NA,NA,NA,363.67594333333335,372.28566233333333,Q4_Alto,Q4_Alto,5.79,Alto_INSE,1,31,3,3
61426242,Pública,Interior,Urbana,363.577328,343.78620565,Q4_Alto,Q4_Alto,5.973888888888889,Alto_INSE,7,22,20,20
61421759,NA,NA,NA,363.02108855384614,4995.630354338462,Q4_Alto,Q4_Alto,6.309230769230769,Alto_INSE,7,81,65,65
61412892,Pública,Interior,Urbana,362.3537687058824,340.3745167647059,Q4_Alto,Q4_Alto,5.6438235294117645,Alto_INSE,1,105,34,34
