ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61433498,Publica,Interior,Urbana,2,2620.3,2766.63,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61457713,Publica,Interior,Urbana,2,2474.31,2614.43,5.15,Q4_Alto,Q4_Alto,Alto_INSE
61424823,Publica,Interior,Urbana,2,2005.45,3882.54,5.45,Q4_Alto,Q4_Alto,Alto_INSE
61450139,Publica,Interior,Urbana,2,1847.09,1932.4,5.4,Q4_Alto,Q4_Alto,Alto_INSE
61442017,Publica,Interior,Urbana,2,414.5,353.19,6.12,Q4_Alto,Q4_Alto,Alto_INSE
61405699,Publica,Interior,Urbana,2,407.29,4292.94,5.81,Q4_Alto,Q4_Alto,Alto_INSE
61424794,Publica,Capital,Urbana,2,386.14,353.1,5.82,Q4_Alto,Q4_Alto,Alto_INSE
61442075,Publica,Capital,Urbana,2,377.07,343.52,6.24,Q4_Alto,Q4_Alto,Alto_INSE
61408573,Publica,NA,NA,2,376.88,328.27,6.46,Q4_Alto,Q4_Alto,Alto_INSE
61459800,Publica,Interior,Urbana,2,375.14,334.15,6.07,Q4_Alto,Q4_Alto,Alto_INSE
61417215,Publica,Interior,Urbana,2,372.58,340.26,5.53,Q4_Alto,Q4_Alto,Alto_INSE
61450177,Publica,NA,NA,2,371.35,345.32,6.52,Q4_Alto,Q4_Alto,Alto_INSE
61438279,Publica,Interior,Urbana,2,370.92,346.7,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61417201,Publica,NA,NA,2,366.07,344.5,6.17,Q4_Alto,Q4_Alto,Alto_INSE
61470062,Publica,NA,NA,2,363.68,372.29,5.79,Q4_Alto,Q4_Alto,Alto_INSE
61426242,Publica,Interior,Urbana,2,363.58,343.79,5.97,Q4_Alto,Q4_Alto,Alto_INSE
61421759,Publica,NA,NA,2,363.02,4995.63,6.31,Q4_Alto,Q4_Alto,Alto_INSE
61412892,Publica,Interior,Urbana,2,362.35,340.37,5.64,Q4_Alto,Q4_Alto,Alto_INSE
61433973,Publica,Interior,Urbana,2,361.87,342.86,5.8,Q4_Alto,Q4_Alto,Alto_INSE
61466141,Publica,NA,NA,2,361.57,331.62,6.8,Q4_Alto,Q4_Alto,Alto_INSE
61442056,Publica,NA,NA,2,359.32,346.11,6.2,Q4_Alto,Q4_Alto,Alto_INSE
61442025,Publica,Interior,Urbana,2,358.31,337.4,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61451129,Publica,NA,NA,2,358.24,337.22,6.37,Q4_Alto,Q4_Alto,Alto_INSE
61399418,Publica,Interior,Urbana,2,358.21,346.72,5.57,Q4_Alto,Q4_Alto,Alto_INSE
61422357,Publica,NA,NA,2,356.11,319.61,6.8,Q4_Alto,Q4_Alto,Alto_INSE
61442026,Publica,Interior,Urbana,2,355.86,345.82,5.43,Q4_Alto,Q4_Alto,Alto_INSE
61442651,Publica,Interior,Urbana,2,353.7,331.14,6.01,Q4_Alto,Q4_Alto,Alto_INSE
61421757,Publica,Interior,Urbana,2,352.55,334.52,5.67,Q4_Alto,Q4_Alto,Alto_INSE
61459496,Publica,Interior,Urbana,2,352.4,335.17,5.64,Q4_Alto,Q4_Alto,Alto_INSE
61405627,Publica,NA,NA,2,350.42,318.67,6.58,Q4_Alto,Q4_Alto,Alto_INSE
61417071,Publica,Interior,Urbana,2,350.17,341.05,5.54,Q4_Alto,Q4_Alto,Alto_INSE
61449850,Publica,Interior,Urbana,2,349.01,333.06,5.5,Q4_Alto,Q4_Alto,Alto_INSE
61466568,Publica,Interior,Urbana,2,348.86,340.94,5.83,Q4_Alto,Q4_Alto,Alto_INSE
61431450,Publica,Interior,Urbana,2,348.3,342.05,5.72,Q4_Alto,Q4_Alto,Alto_INSE
61412880,Publica,NA,NA,2,347.23,319.33,6.3,Q4_Alto,Q4_Alto,Alto_INSE
61442586,Publica,Interior,Urbana,2,346.66,325.93,6.23,Q4_Alto,Q4_Alto,Alto_INSE
61425525,Publica,Interior,Urbana,2,346.26,331.76,5.93,Q4_Alto,Q4_Alto,Alto_INSE
61415637,Publica,Interior,Urbana,2,346.07,344.76,5.43,Q4_Alto,Q4_Alto,Alto_INSE
61441572,Publica,Interior,Urbana,2,345.6,319.12,5.79,Q4_Alto,Q4_Alto,Alto_INSE
61400483,Publica,Interior,Urbana,2,345.21,328.13,5.8,Q4_Alto,Q4_Alto,Alto_INSE
61412878,Publica,Capital,Urbana,2,345,314.42,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61428102,Publica,NA,NA,2,343.31,324.59,5.95,Q4_Alto,Q4_Alto,Alto_INSE
61425092,Publica,Interior,Urbana,2,343.1,328.59,5.75,Q4_Alto,Q4_Alto,Alto_INSE
61448093,Publica,Interior,Urbana,2,343.09,316.03,6.21,Q4_Alto,Q4_Alto,Alto_INSE
61412895,Publica,Interior,Urbana,2,342.88,330.37,5.41,Q4_Alto,Q4_Alto,Alto_INSE
61459776,Publica,NA,NA,2,342.88,330.86,6.59,Q4_Alto,Q4_Alto,Alto_INSE
61405591,Publica,Interior,Urbana,2,342.71,330.61,5.62,Q4_Alto,Q4_Alto,Alto_INSE
