ID_ESCOLA,LOCALIZACAO,AREA,TIPO_ESCOLA,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61459406,Urbana,Interior,Pública,1,339.02,328.81,5.45,Q4_Alto,Q4_Alto,Alto_INSE
61432622,Urbana,Interior,Pública,1,338.3,327.31,6.21,Q4_Alto,Q4_Alto,Alto_INSE
61449072,Urbana,Capital,Pública,1,337.51,323.26,5.88,Q4_Alto,Q4_Alto,Alto_INSE
61416089,Urbana,Interior,Pública,1,336,332.36,5.78,Q4_Alto,Q4_Alto,Alto_INSE
61408565,Urbana,Interior,Pública,1,335.85,338.03,6.09,Q4_Alto,Q4_Alto,Alto_INSE
61466462,Urbana,Interior,Pública,1,334.97,323.58,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61416620,Urbana,Interior,Pública,1,332.35,313.1,5.74,Q4_Alto,Q4_Alto,Alto_INSE
61431468,Urbana,Interior,Pública,1,332.34,341.19,4.87,Q4_Alto,Q4_Alto,Medio_INSE
61459752,Urbana,Interior,Pública,1,332.25,319.61,5.98,Q4_Alto,Q4_Alto,Alto_INSE
61457608,Urbana,Interior,Pública,1,331.33,325.87,5.18,Q4_Alto,Q4_Alto,Alto_INSE
61428711,Urbana,Capital,Pública,1,331.03,2849.45,5.93,Q4_Alto,Q4_Alto,Alto_INSE
61466135,Urbana,Interior,Pública,1,330.78,327.54,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61426237,Urbana,Interior,Pública,1,327.34,319.94,5.38,Q4_Alto,Q4_Alto,Alto_INSE
61454731,Urbana,Interior,Pública,1,327.32,305.73,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61424959,Urbana,Interior,Pública,1,326.97,331.57,5.6,Q4_Alto,Q4_Alto,Alto_INSE
61425760,Urbana,Interior,Pública,1,326.89,320.92,5.6,Q4_Alto,Q4_Alto,Alto_INSE
61466132,Urbana,Interior,Pública,1,326.59,332.2,5.58,Q4_Alto,Q4_Alto,Alto_INSE
61457614,Urbana,Interior,Pública,1,326.49,311.58,4.75,Q4_Alto,Q4_Alto,Medio_INSE
61470543,Urbana,Interior,Pública,1,326.42,326.52,5.25,Q4_Alto,Q4_Alto,Alto_INSE
61470537,Urbana,Capital,Pública,1,326.36,309.5,6.02,Q4_Alto,Q4_Alto,Alto_INSE
61421800,Urbana,Interior,Pública,1,326.35,301.77,5.82,Q4_Alto,Q4_Alto,Alto_INSE
61448619,Urbana,Interior,Pública,1,326.29,327.49,5.79,Q4_Alto,Q4_Alto,Alto_INSE
61442546,Urbana,Interior,Pública,1,324.44,297.13,6.01,Q4_Alto,Q4_Alto,Alto_INSE
61459377,Urbana,Interior,Pública,1,323.6,321.91,5.89,Q4_Alto,Q4_Alto,Alto_INSE
61466469,Urbana,Interior,Pública,1,322.67,330.66,6.01,Q4_Alto,Q4_Alto,Alto_INSE
61442161,Urbana,Interior,Pública,1,322.62,297.25,5.29,Q4_Alto,Q4_Alto,Alto_INSE
61408071,Urbana,Interior,Pública,1,322.33,301.83,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61433390,Urbana,Interior,Pública,1,321.88,315.11,5.98,Q4_Alto,Q4_Alto,Alto_INSE
61428119,Urbana,Interior,Pública,1,320.86,323.82,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61433439,Urbana,Interior,Pública,1,320.73,257.23,4.72,Q4_Alto,Q1_Baixo,Medio_INSE
61449536,Urbana,Interior,Pública,1,320.56,316.71,5.8,Q4_Alto,Q4_Alto,Alto_INSE
61416147,Urbana,Interior,Pública,1,319.27,310.28,5.5,Q4_Alto,Q4_Alto,Alto_INSE
61459744,Urbana,Interior,Pública,1,319.13,305.4,5.46,Q4_Alto,Q4_Alto,Alto_INSE
61442157,Urbana,Interior,Pública,1,318.9,294.48,5.92,Q4_Alto,Q4_Alto,Alto_INSE
61412884,Urbana,Capital,Pública,1,314.94,315.29,5.94,Q4_Alto,Q4_Alto,Alto_INSE
61428134,Urbana,Interior,Pública,1,314.56,306.65,5.01,Q4_Alto,Q4_Alto,Medio_INSE
61449563,Urbana,Interior,Pública,1,314.26,311.26,4.9,Q4_Alto,Q4_Alto,Medio_INSE
61416760,Urbana,Interior,Pública,1,314.15,317.97,5.89,Q4_Alto,Q4_Alto,Alto_INSE
61399450,Urbana,Interior,Pública,1,313.27,328.68,5.28,Q4_Alto,Q4_Alto,Alto_INSE
61442597,Urbana,Interior,Pública,1,313.27,310.4,5.35,Q4_Alto,Q4_Alto,Alto_INSE
61416604,Urbana,Interior,Pública,1,312.54,298.49,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61428727,Urbana,Interior,Pública,1,311.19,317.22,5.42,Q4_Alto,Q4_Alto,Alto_INSE
61432977,Urbana,Interior,Pública,1,310.76,314.47,5.59,Q4_Alto,Q4_Alto,Alto_INSE
